Brats18_2013_14_1,inference
Brats18_2013_17_1,inference
Brats18_CBICA_ALX_1,inference
Brats18_CBICA_AOO_1,inference
Brats18_CBICA_AOP_1,inference
Brats18_CBICA_APY_1,inference
Brats18_CBICA_AQP_1,inference
Brats18_CBICA_ATV_1,inference
Brats18_CBICA_AVJ_1,inference
Brats18_CBICA_AWH_1,inference
Brats18_CBICA_AXL_1,inference
Brats18_CBICA_AXO_1,inference
Brats18_TCIA01_147_1,inference
Brats18_TCIA01_186_1,inference
Brats18_TCIA01_221_1,inference
Brats18_TCIA02_171_1,inference
Brats18_TCIA02_290_1,inference
Brats18_TCIA02_374_1,inference
Brats18_TCIA02_377_1,inference
Brats18_TCIA02_471_1,inference
Brats18_TCIA02_491_1,inference
Brats18_TCIA02_608_1,inference
Brats18_TCIA03_199_1,inference
Brats18_TCIA03_338_1,inference
Brats18_TCIA05_277_1,inference
Brats18_TCIA06_247_1,inference
